point 1,point 2,point 3
[958 871],[971 709],[981 888]
[980 711],[981 889],[979 703]
[984 892],[983 708],[983 906]
[980 709],[982 908],[982 709]
[986 900],[980 720],[953 871]
[972 705],[957 871],[970 711]
[964 868],[972 711],[968 866]
[970 705],[968 864],[978 713]
[966 866],[972 715],[972 871]
