point 1,point 2,point 3
[1013  655],[960 640],[975 598]
[1026  656],[975 640],[944 617]
[1030  658],[986 636],[960 614]
[1023  652],[998 627],[972 618]
[1003  656],[1019  618],[1021  595]
[991 669],[1005  621],[1019  599]
[988 666],[1010  611],[1040  610]
[984 671],[997 617],[1039  610]
[991 672],[992 604],[1040  610]
[1001  664],[988 602],[1027  596]
[1017  669],[982 618],[991 570]
[1020  665],[963 612],[957 575]
[1010  661],[937 637],[960 599]
[1016  666],[957 647],[966 601]
