point 1,point 2,point 3
[485 682],[593 661],[680 688]
[516 668],[628 651],[691 694]
[546 618],[648 637],[713 697]
[620 565],[699 624],[713 695]
[676 528],[712 629],[730 696]
[648 551],[709 631],[732 692]
[673 535],[681 626],[693 698]
[683 564],[659 624],[644 700]
[769 629],[706 646],[651 697]
[826 684],[742 670],[678 683]
[837 689],[749 678],[680 689]
[658 682],[747 662],[845 684]
