point 1,point 2,point 3
[650 799],[725 783],[649 790]
[727 793],[647 800],[725 809]
[649 793],[714 786],[643 816]
[717 800],[641 785],[708 766]
[634 796],[715 772],[640 796]
[708 773],[623 805],[689 780]
[627 802],[712 773],[630 828]
[728 779],[628 825],[708 790]
